id_deudor,segmento,producto,departamento,tramo_mora,dias_mora,monto_deuda,score_buro,contactabilidad,probpago,decil,segmento_propension,estrategia,descuento_recomendado,plan_cuotas,canal_recomendado,valor_esperado_recupero,prioridad,pago,guion
KB-100010,Retail,Préstamo personal,Montevideo,91-180,133,12480.0,407,0.264,0.1438,2,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,986.8057,11525,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 6,864 (45% de descuento sobre $U 12,480) cancela toda su deuda. Es por tiempo limitado."
KB-100011,Retail,Microcrédito,Montevideo,1-30,23,34410.0,466,0.799,0.414,4,Media,Plan de cuotas,0.1,3,Email,12820.9653,7667,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 34,410 en 3 cuotas de $U 10,323 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100012,Corporativo,Cuenta corriente,San José,61-90,87,566490.0,527,0.266,0.3519,3,Media,Plan de cuotas,0.1,3,Llamada,179437.7513,939,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 566,490 en 3 cuotas de $U 169,947 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100013,Retail,Tarjeta de crédito,Canelones,91-180,153,91190.0,521,0.215,0.2697,3,Baja,Descuento máximo / cierre de cuenta,0.45,1,Llamada,13528.8634,7513,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 50,155 (45% de descuento sobre $U 91,190) cancela toda su deuda. Es por tiempo limitado."
KB-100014,Retail,Tarjeta de crédito,Canelones,91-180,159,33290.0,770,0.536,0.8709,8,Alta,Pago total facilitado,0.05,1,SMS,27543.4195,4991,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 33,290. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 31,626. ¿Coordinamos el pago?"
KB-100015,Retail,Microcrédito,Canelones,91-180,160,15130.0,561,0.205,0.3142,3,Baja,Descuento máximo / cierre de cuenta,0.45,1,Email,2614.6055,10719,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 8,322 (45% de descuento sobre $U 15,130) cancela toda su deuda. Es por tiempo limitado."
KB-100016,Corporativo,Crédito automotor,Salto,61-90,79,1071020.0,468,0.127,0.0227,1,Baja,Quita agresiva por pago único,0.3,1,Llamada,17049.5072,6758,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 749,714 (30% de descuento sobre $U 1,071,020) cancela toda su deuda. Es por tiempo limitado."
KB-100017,Retail,Microcrédito,Maldonado,1-30,29,14970.0,444,0.472,0.3946,4,Media,Plan de cuotas,0.1,3,WhatsApp,5315.7812,9747,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 14,970 en 3 cuotas de $U 4,491 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100018,Retail,Tarjeta de crédito,Colonia,61-90,82,21330.0,542,0.602,0.1646,2,Baja,Quita agresiva por pago único,0.3,1,WhatsApp,2457.0711,10777,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 14,931 (30% de descuento sobre $U 21,330) cancela toda su deuda. Es por tiempo limitado."
KB-100019,Retail,Tarjeta de crédito,Canelones,91-180,115,20230.0,640,0.643,0.951,9,Alta,Pago total facilitado,0.05,1,WhatsApp,18276.023,6497,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 20,230. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 19,218. ¿Coordinamos el pago?"
KB-100020,Pyme,Préstamo personal,Tacuarembó,31-60,57,32990.0,466,0.438,0.5602,5,Media,Plan de cuotas,0.1,3,WhatsApp,16634.1163,6850,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 32,990 en 3 cuotas de $U 9,897 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100021,Retail,Tarjeta de crédito,Montevideo,91-180,110,13920.0,356,0.345,0.1642,2,Baja,Descuento máximo / cierre de cuenta,0.45,1,Llamada,1256.929,11384,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 7,656 (45% de descuento sobre $U 13,920) cancela toda su deuda. Es por tiempo limitado."
KB-100022,Retail,Tarjeta de crédito,Durazno,1-30,30,27880.0,656,0.805,0.816,7,Alta,Recordatorio suave,0.0,1,WhatsApp,22749.557,5696,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 27,880 (ref. KB-100022). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100023,Pyme,Financiación retail,Treinta y Tres,91-180,116,133150.0,504,0.219,0.1082,2,Baja,Descuento máximo / cierre de cuenta,0.45,1,Llamada,7926.8056,8929,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 73,232 (45% de descuento sobre $U 133,150) cancela toda su deuda. Es por tiempo limitado."
KB-100024,Pyme,Cuenta corriente,Paysandú,1-30,1,193120.0,502,0.99,0.7984,7,Alta,Recordatorio suave,0.0,1,SMS,154187.0893,1097,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 193,120 (ref. KB-100024). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100025,Retail,Tarjeta de crédito,Paysandú,61-90,73,43890.0,639,0.395,0.879,8,Alta,Pago total facilitado,0.05,1,SMS,36650.3587,3997,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 43,890. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 41,696. ¿Coordinamos el pago?"
KB-100026,Retail,Financiación retail,Canelones,31-60,51,4470.0,467,0.708,0.4189,4,Media,Plan de cuotas,0.1,3,WhatsApp,1685.2109,11162,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 4,470 en 3 cuotas de $U 1,341 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100027,Retail,Préstamo personal,Montevideo,1-30,27,13700.0,704,0.542,0.9638,10,Alta,Recordatorio suave,0.0,1,WhatsApp,13203.5443,7576,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 13,700 (ref. KB-100027). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100028,Retail,Tarjeta de crédito,Canelones,61-90,64,9010.0,427,0.356,0.3634,3,Media,Plan de cuotas,0.1,3,WhatsApp,2946.5172,10584,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 9,010 en 3 cuotas de $U 2,703 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100029,Retail,Préstamo personal,Montevideo,61-90,76,8660.0,714,0.495,0.8977,8,Alta,Pago total facilitado,0.05,1,WhatsApp,7385.5151,9107,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 8,660. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 8,227. ¿Coordinamos el pago?"
KB-100030,Retail,Préstamo personal,Montevideo,1-30,11,7720.0,393,0.604,0.6382,5,Media,Plan de cuotas,0.1,3,WhatsApp,4434.3603,10029,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 7,720 en 3 cuotas de $U 2,316 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100031,Retail,Préstamo personal,Artigas,61-90,82,27750.0,540,0.73,0.516,4,Media,Plan de cuotas,0.1,3,Email,12886.3663,7650,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 27,750 en 3 cuotas de $U 8,325 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100032,Retail,Tarjeta de crédito,Montevideo,61-90,74,17950.0,478,0.17,0.5114,4,Media,Plan de cuotas,0.1,3,SMS,8260.9433,8845,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 17,950 en 3 cuotas de $U 5,385 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100033,Pyme,Préstamo personal,Montevideo,1-30,6,474450.0,564,0.657,0.7778,7,Alta,Recordatorio suave,0.0,1,Email,369032.575,439,0,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 474,450 (ref. KB-100033). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100034,Retail,Préstamo personal,Montevideo,91-180,128,20230.0,596,0.567,0.1832,2,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,2037.8414,10979,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 11,126 (45% de descuento sobre $U 20,230) cancela toda su deuda. Es por tiempo limitado."
KB-100035,Retail,Cuenta corriente,Maldonado,31-60,49,14710.0,610,0.639,0.8815,8,Alta,Pago total facilitado,0.05,1,Llamada,12318.368,7809,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 14,710. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 13,974. ¿Coordinamos el pago?"
KB-100036,Retail,Préstamo personal,Florida,91-180,146,29240.0,804,0.609,0.9614,10,Alta,Pago total facilitado,0.05,1,WhatsApp,26706.2674,5095,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 29,240. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 27,778. ¿Coordinamos el pago?"
KB-100037,Retail,Crédito automotor,Canelones,31-60,36,32940.0,250,0.867,0.1085,2,Baja,Quita agresiva por pago único,0.3,1,SMS,2502.6007,10757,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 23,058 (30% de descuento sobre $U 32,940) cancela toda su deuda. Es por tiempo limitado."
KB-100038,Retail,Tarjeta de crédito,Montevideo,31-60,43,22070.0,640,0.319,0.965,10,Alta,Pago total facilitado,0.05,1,WhatsApp,20232.2399,6133,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 22,070. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 20,966. ¿Coordinamos el pago?"
KB-100039,Pyme,Tarjeta de crédito,Durazno,31-60,32,210870.0,506,0.489,0.8058,7,Alta,Pago total facilitado,0.05,1,WhatsApp,161431.5232,1049,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 210,870. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 200,326. ¿Coordinamos el pago?"
KB-100040,Retail,Crédito automotor,Durazno,31-60,52,35840.0,512,0.71,0.5642,5,Media,Plan de cuotas,0.1,3,WhatsApp,18198.0982,6511,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 35,840 en 3 cuotas de $U 10,752 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100041,Corporativo,Cuenta corriente,Río Negro,31-60,46,176740.0,877,0.558,0.7998,7,Alta,Pago total facilitado,0.05,1,Llamada,134294.8022,1257,0,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 176,740. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 167,903. ¿Coordinamos el pago?"
KB-100042,Retail,Préstamo personal,Canelones,31-60,51,192230.0,591,0.709,0.6688,6,Alta,Pago total facilitado,0.05,1,Llamada,122137.8845,1392,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 192,230. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 182,618. ¿Coordinamos el pago?"
KB-100043,Retail,Crédito automotor,Montevideo,91-180,104,43940.0,729,0.612,0.9518,9,Alta,Pago total facilitado,0.05,1,WhatsApp,39729.3408,3763,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 43,940. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 41,743. ¿Coordinamos el pago?"
KB-100044,Retail,Crédito automotor,Tacuarembó,1-30,23,25110.0,443,0.224,0.6099,5,Media,Plan de cuotas,0.1,3,WhatsApp,13782.1057,7460,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 25,110 en 3 cuotas de $U 7,533 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100045,Retail,Cuenta corriente,Montevideo,1-30,19,52780.0,650,0.522,0.9411,9,Alta,Recordatorio suave,0.0,1,Email,49669.8146,3117,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 52,780 (ref. KB-100045). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100046,Retail,Tarjeta de crédito,Montevideo,1-30,26,36030.0,455,0.557,0.2202,3,Baja,Quita agresiva por pago único,0.3,1,WhatsApp,5554.0718,9677,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 25,221 (30% de descuento sobre $U 36,030) cancela toda su deuda. Es por tiempo limitado."
KB-100047,Retail,Crédito automotor,Montevideo,1-30,13,12830.0,614,0.558,0.9091,8,Alta,Recordatorio suave,0.0,1,WhatsApp,11664.3015,7970,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 12,830 (ref. KB-100047). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100048,Retail,Cuenta corriente,San José,91-180,123,66400.0,442,0.621,0.3183,3,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,11623.5965,7978,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 36,520 (45% de descuento sobre $U 66,400) cancela toda su deuda. Es por tiempo limitado."
KB-100049,Pyme,Financiación retail,Florida,1-30,24,95110.0,757,0.727,0.9662,10,Alta,Recordatorio suave,0.0,1,SMS,91892.2839,1844,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 95,110 (ref. KB-100049). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100050,Corporativo,Tarjeta de crédito,Montevideo,31-60,40,314970.0,531,0.934,0.8086,7,Alta,Pago total facilitado,0.05,1,Llamada,241953.2154,678,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 314,970. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 299,222. ¿Coordinamos el pago?"
KB-100051,Retail,Financiación retail,Rocha,61-90,90,16930.0,566,0.871,0.8767,8,Alta,Pago total facilitado,0.05,1,Llamada,14100.6005,7385,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 16,930. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 16,084. ¿Coordinamos el pago?"
KB-100052,Pyme,Tarjeta de crédito,Maldonado,1-30,25,131010.0,353,0.702,0.1487,2,Baja,Quita agresiva por pago único,0.3,1,Llamada,13639.0497,7487,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 91,707 (30% de descuento sobre $U 131,010) cancela toda su deuda. Es por tiempo limitado."
KB-100053,Corporativo,Préstamo personal,Colonia,180+,235,1232230.0,633,0.608,0.0582,1,Baja,Derivación a gestión especializada,0.15,12,Llamada,61006.8813,2614,0,"Hola, le escribimos de su gestor de cobranzas. Su caso (ref. KB-100053, saldo $U 1,232,230) fue asignado a un gestor especializado que puede estructurar un plan de hasta 12 cuotas. Le contactaremos para encontrar la mejor solución."
KB-100054,Pyme,Financiación retail,Montevideo,91-180,121,146040.0,597,0.422,0.4127,4,Media,Plan de cuotas + quita moderada,0.2,6,SMS,48222.3186,3214,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 146,040 en 6 cuotas de $U 19,472 con 20% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100055,Retail,Préstamo personal,Montevideo,1-30,20,19070.0,593,0.548,0.8236,7,Alta,Recordatorio suave,0.0,1,Llamada,15705.7759,7034,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 19,070 (ref. KB-100055). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100056,Retail,Préstamo personal,Paysandú,180+,250,45340.0,447,0.852,0.0683,1,Baja,Descuento máximo / cierre de cuenta,0.45,1,WhatsApp,1703.2093,11153,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 24,937 (45% de descuento sobre $U 45,340) cancela toda su deuda. Es por tiempo limitado."
KB-100057,Pyme,Financiación retail,Montevideo,61-90,73,157590.0,392,0.289,0.0842,1,Baja,Quita agresiva por pago único,0.3,1,Llamada,9285.2158,8569,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 110,313 (30% de descuento sobre $U 157,590) cancela toda su deuda. Es por tiempo limitado."
KB-100058,Pyme,Microcrédito,Montevideo,61-90,62,220230.0,583,0.446,0.1653,2,Baja,Quita agresiva por pago único,0.3,1,WhatsApp,25486.0625,5246,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 154,161 (30% de descuento sobre $U 220,230) cancela toda su deuda. Es por tiempo limitado."
KB-100059,Retail,Préstamo personal,Montevideo,61-90,83,39490.0,341,0.6,0.1183,2,Baja,Quita agresiva por pago único,0.3,1,Email,3270.4158,10451,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 27,643 (30% de descuento sobre $U 39,490) cancela toda su deuda. Es por tiempo limitado."
KB-100060,Corporativo,Cuenta corriente,Artigas,91-180,91,1150760.0,737,0.408,0.6678,6,Alta,Pago total facilitado,0.05,1,Llamada,730090.9789,174,0,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 1,150,760. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 1,093,222. ¿Coordinamos el pago?"
KB-100061,Retail,Préstamo personal,Rocha,31-60,48,30130.0,563,0.782,0.7939,7,Alta,Pago total facilitado,0.05,1,Email,22725.5086,5701,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 30,130. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 28,624. ¿Coordinamos el pago?"
KB-100062,Retail,Préstamo personal,Montevideo,91-180,96,10190.0,465,0.48,0.5069,4,Media,Plan de cuotas + quita moderada,0.2,6,WhatsApp,4131.9367,10130,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 10,190 en 6 cuotas de $U 1,359 con 20% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100063,Corporativo,Tarjeta de crédito,Montevideo,1-30,14,109180.0,635,0.441,0.9533,10,Alta,Recordatorio suave,0.0,1,Llamada,104084.4576,1640,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 109,180 (ref. KB-100063). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100064,Pyme,Cuenta corriente,San José,1-30,22,75460.0,566,0.567,0.6045,5,Media,Plan de cuotas,0.1,3,Email,41054.1854,3673,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 75,460 en 3 cuotas de $U 22,638 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100065,Pyme,Tarjeta de crédito,Río Negro,61-90,63,121550.0,350,0.673,0.1104,2,Baja,Quita agresiva por pago único,0.3,1,SMS,9392.2088,8542,1,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 85,085 (30% de descuento sobre $U 121,550) cancela toda su deuda. Es por tiempo limitado."
KB-100066,Pyme,Préstamo personal,Soriano,31-60,44,71290.0,499,0.617,0.7511,6,Alta,Pago total facilitado,0.05,1,SMS,50866.0842,3045,0,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 71,290. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 67,726. ¿Coordinamos el pago?"
KB-100067,Corporativo,Tarjeta de crédito,Montevideo,1-30,13,162020.0,473,0.332,0.4571,4,Media,Plan de cuotas,0.1,3,Llamada,66651.6184,2462,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 162,020 en 3 cuotas de $U 48,606 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100068,Retail,Préstamo personal,Tacuarembó,61-90,61,10740.0,484,0.572,0.4335,4,Media,Plan de cuotas,0.1,3,WhatsApp,4190.4061,10111,1,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 10,740 en 3 cuotas de $U 3,222 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100069,Retail,Tarjeta de crédito,Paysandú,61-90,66,19610.0,781,0.756,0.9757,10,Alta,Pago total facilitado,0.05,1,WhatsApp,18176.3218,6516,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 19,610. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 18,630. ¿Coordinamos el pago?"
KB-100070,Pyme,Microcrédito,Montevideo,1-30,15,83970.0,502,0.621,0.9125,8,Alta,Recordatorio suave,0.0,1,Llamada,76622.8259,2166,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 83,970 (ref. KB-100070). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100071,Retail,Tarjeta de crédito,Treinta y Tres,31-60,49,14570.0,567,0.573,0.66,5,Alta,Pago total facilitado,0.05,1,WhatsApp,9135.9075,8606,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 14,570. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 13,842. ¿Coordinamos el pago?"
KB-100072,Pyme,Préstamo personal,Montevideo,91-180,102,159550.0,695,0.689,0.8249,7,Alta,Pago total facilitado,0.05,1,WhatsApp,125038.4504,1350,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 159,550. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 151,572. ¿Coordinamos el pago?"
KB-100073,Retail,Microcrédito,Montevideo,31-60,54,6600.0,585,0.483,0.9172,9,Alta,Pago total facilitado,0.05,1,SMS,5750.8051,9614,0,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 6,600. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 6,270. ¿Coordinamos el pago?"
KB-100074,Retail,Microcrédito,Rocha,180+,265,36490.0,631,0.318,0.1448,2,Baja,Descuento máximo / cierre de cuenta,0.45,1,Email,2906.4121,10598,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 20,070 (45% de descuento sobre $U 36,490) cancela toda su deuda. Es por tiempo limitado."
KB-100075,Retail,Financiación retail,Montevideo,61-90,70,11390.0,325,0.337,0.0704,1,Baja,Quita agresiva por pago único,0.3,1,WhatsApp,561.4349,11794,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 7,973 (30% de descuento sobre $U 11,390) cancela toda su deuda. Es por tiempo limitado."
KB-100076,Retail,Préstamo personal,Montevideo,1-30,24,19900.0,520,0.483,0.7904,7,Alta,Recordatorio suave,0.0,1,Llamada,15727.9672,7030,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 19,900 (ref. KB-100076). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100077,Retail,Préstamo personal,San José,1-30,15,39410.0,571,0.39,0.9054,8,Alta,Recordatorio suave,0.0,1,WhatsApp,35683.0808,4099,0,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 39,410 (ref. KB-100077). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
