id_gestion,gestor_id,gestor,tipo_gestor,mes,fecha_gestion,id_deudor,documento,segmento,producto,departamento,tramo_mora,canal,usa_kobra,calidad_gestion,sentimiento_cliente,emocion_dominante,tecnicas_usadas,resultado,fecha_compromiso,fecha_pago,monto_gestionado,monto_acordado,cuotas,descuento,recupero,notas
GE-0000014,G01,Gestor 01,Humano,2025-08,2025-08-05,KB-108339,,Pyme,Cuenta corriente,Montevideo,180+,Llamada,False,68.2,-0.237,dificultad_economica,2,Promesa,2025-08-10,,55110.0,55110.0,1,0.0,16933.0,Arreglo de pago acordado; enviar comprobante.
GE-0000015,G01,Gestor 01,Humano,2025-08,2025-08-15,KB-101811,,Retail,Préstamo personal,Durazno,91-180,Llamada,False,76.4,0.051,ansiedad,3,Promesa,2025-08-20,,9090.0,6363.0,5,0.3,5224.0,Arreglo de pago acordado; enviar comprobante.
GE-0000016,G01,Gestor 01,Humano,2025-08,2025-08-21,KB-101718,,Pyme,Préstamo personal,Canelones,61-90,Llamada,False,67.4,-0.052,objecion,4,Pago,,2025-08-21,94790.0,90050.0,1,0.05,73614.0,Abonó el total de la deuda.
GE-0000017,G01,Gestor 01,Humano,2025-08,2025-08-29,KB-104873,,Retail,Crédito automotor,Cerro Largo,31-60,WhatsApp,False,57.7,-0.102,ansiedad,2,Pago,,2025-08-29,36880.0,36880.0,1,0.0,33724.0,Abonó el total de la deuda.
GE-0000018,G01,Gestor 01,Humano,2025-08,2025-08-01,KB-108986,,Pyme,Préstamo personal,Montevideo,1-30,Llamada,False,62.1,0.125,neutro,4,Pago,,2025-08-01,453150.0,362520.0,1,0.2,404953.0,Abonó el total de la deuda.
GE-0000019,G01,Gestor 01,Humano,2025-08,2025-08-29,KB-101810,,Retail,Cuenta corriente,Canelones,1-30,WhatsApp,False,66.2,0.542,intencion_pago,4,No contactado,,,22580.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000020,G01,Gestor 01,Humano,2025-08,2025-08-06,KB-104554,,Pyme,Tarjeta de crédito,Canelones,180+,WhatsApp,False,53.0,-0.297,dificultad_economica,4,No contactado,,,103550.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000021,G01,Gestor 01,Humano,2025-08,2025-08-27,KB-106894,,Pyme,Préstamo personal,Montevideo,1-30,Llamada,False,56.2,0.147,objecion,2,Promesa,2025-08-31,,226470.0,226470.0,1,0.0,99828.0,Arreglo de pago acordado; enviar comprobante.
GE-0000022,G01,Gestor 01,Humano,2025-08,2025-08-19,KB-110909,,Pyme,Financiación retail,Maldonado,1-30,Llamada,False,81.8,0.477,intencion_pago,6,Pago,,2025-08-19,288580.0,288580.0,1,0.0,187661.0,Abonó el total de la deuda.
GE-0000023,G01,Gestor 01,Humano,2025-08,2025-08-05,KB-101463,,Pyme,Financiación retail,Montevideo,31-60,Llamada,False,78.6,0.113,neutro,5,Pago,,2025-08-05,181300.0,181300.0,1,0.0,179268.0,Abonó el total de la deuda.
GE-0000024,G01,Gestor 01,Humano,2025-08,2025-08-12,KB-110764,,Retail,Préstamo personal,Canelones,31-60,Llamada,False,62.8,0.542,intencion_pago,3,Promesa,2025-08-17,,31450.0,29878.0,4,0.05,17208.0,Arreglo de pago acordado; enviar comprobante.
GE-0000025,G01,Gestor 01,Humano,2025-08,2025-08-07,KB-101434,,Pyme,Tarjeta de crédito,Montevideo,61-90,Llamada,False,65.2,-0.461,frustracion,4,Pago,,2025-08-07,213530.0,213530.0,1,0.0,161301.0,Abonó el total de la deuda.
GE-0000026,G01,Gestor 01,Humano,2025-08,2025-08-04,KB-106035,,Retail,Tarjeta de crédito,Canelones,91-180,WhatsApp,False,67.8,-0.394,dificultad_economica,5,Pago,,2025-08-04,123960.0,99168.0,1,0.2,84431.0,Abonó el total de la deuda.
GE-0000027,G01,Gestor 01,Humano,2025-08,2025-08-25,KB-111346,,Retail,Microcrédito,Rivera,180+,WhatsApp,False,68.4,-0.215,ansiedad,4,Informado,,,68380.0,0.0,0,0.0,0.0,Se informó la deuda / se dejó mensaje.
GE-0000028,G01,Gestor 01,Humano,2025-08,2025-08-05,KB-108899,,Retail,Tarjeta de crédito,Montevideo,91-180,Llamada,False,62.7,0.09,objecion,1,Promesa,2025-08-10,,24940.0,23693.0,2,0.05,13298.0,Arreglo de pago acordado; enviar comprobante.
GE-0000029,G01,Gestor 01,Humano,2025-08,2025-08-21,KB-103207,,Retail,Préstamo personal,San José,1-30,Llamada,False,67.4,0.353,intencion_pago,4,Pago,,2025-08-21,47140.0,47140.0,1,0.0,44131.0,Abonó el total de la deuda.
GE-0000030,G01,Gestor 01,Humano,2025-08,2025-08-20,KB-103719,,Pyme,Tarjeta de crédito,Soriano,1-30,Llamada,False,75.1,0.184,objecion,5,Promesa,2025-08-25,,107320.0,96588.0,2,0.1,61211.0,Arreglo de pago acordado; enviar comprobante.
GE-0000031,G01,Gestor 01,Humano,2025-08,2025-08-04,KB-105027,,Retail,Préstamo personal,Treinta y Tres,180+,WhatsApp,False,62.4,-0.372,dificultad_economica,4,Promesa,2025-08-09,,85880.0,81586.0,4,0.05,27240.0,Arreglo de pago acordado; enviar comprobante.
GE-0000032,G01,Gestor 01,Humano,2025-08,2025-08-26,KB-101212,,Retail,Tarjeta de crédito,Rocha,1-30,WhatsApp,False,70.7,-0.059,ansiedad,2,Pago,,2025-08-26,22520.0,15764.0,1,0.3,16910.0,Abonó el total de la deuda.
GE-0000033,G01,Gestor 01,Humano,2025-08,2025-08-19,KB-111942,,Pyme,Tarjeta de crédito,Rivera,1-30,WhatsApp,False,69.8,-0.272,ansiedad,4,Promesa,2025-08-24,,148690.0,148690.0,6,0.0,76985.0,Arreglo de pago acordado; enviar comprobante.
GE-0000034,G01,Gestor 01,Humano,2025-08,2025-08-19,KB-106825,,Retail,Tarjeta de crédito,Montevideo,91-180,Llamada,False,74.0,-0.305,objecion,4,Promesa,2025-08-24,,64960.0,58464.0,4,0.1,36031.0,Arreglo de pago acordado; enviar comprobante.
GE-0000035,G01,Gestor 01,Humano,2025-08,2025-08-21,KB-101808,,Pyme,Cuenta corriente,Paysandú,31-60,WhatsApp,False,69.5,0.724,intencion_pago,4,Promesa,2025-08-26,,81000.0,72900.0,3,0.1,41394.0,Arreglo de pago acordado; enviar comprobante.
GE-0000036,G01,Gestor 01,Humano,2025-08,2025-08-05,KB-111567,,Corporativo,Préstamo personal,San José,61-90,Llamada,False,66.6,-0.235,dificultad_economica,2,Pago,,2025-08-05,336070.0,336070.0,1,0.0,316565.0,Abonó el total de la deuda.
GE-0000037,G01,Gestor 01,Humano,2025-08,2025-08-14,KB-110833,,Retail,Financiación retail,Rocha,180+,WhatsApp,False,56.3,-0.241,frustracion,2,No contactado,,,30450.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000038,G01,Gestor 01,Humano,2025-08,2025-08-04,KB-106503,,Retail,Tarjeta de crédito,Colonia,91-180,Llamada,False,75.4,-0.422,enojo,4,No contactado,,,56500.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000039,G01,Gestor 01,Humano,2025-08,2025-08-08,KB-109097,,Pyme,Financiación retail,Lavalleja,61-90,WhatsApp,False,61.1,0.063,objecion,1,Promesa,2025-08-13,,97010.0,97010.0,2,0.0,31429.0,Arreglo de pago acordado; enviar comprobante.
GE-0000040,G01,Gestor 01,Humano,2025-08,2025-08-04,KB-102725,,Retail,Préstamo personal,Salto,180+,WhatsApp,False,67.0,-0.842,enojo,3,Promesa,2025-08-09,,26650.0,23985.0,3,0.1,8053.0,Arreglo de pago acordado; enviar comprobante.
GE-0000041,G01,Gestor 01,Humano,2025-08,2025-08-05,KB-110767,,Retail,Financiación retail,Montevideo,31-60,WhatsApp,False,59.4,-0.012,objecion,3,Pago,,2025-08-05,9220.0,9220.0,1,0.0,7384.0,Abonó el total de la deuda.
GE-0000042,G01,Gestor 01,Humano,2025-08,2025-08-19,KB-102344,,Retail,Préstamo personal,Flores,31-60,WhatsApp,False,71.3,-0.281,frustracion,3,Pago,,2025-08-19,47430.0,47430.0,1,0.0,44628.0,Abonó el total de la deuda.
GE-0000043,G01,Gestor 01,Humano,2025-08,2025-08-21,KB-106055,,Retail,Tarjeta de crédito,San José,91-180,WhatsApp,False,52.9,-0.317,ansiedad,3,No contactado,,,26680.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000044,G01,Gestor 01,Humano,2025-08,2025-08-27,KB-103359,,Pyme,Microcrédito,Paysandú,180+,WhatsApp,False,64.2,-0.591,enojo,5,Sin acuerdo,,,236760.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000045,G01,Gestor 01,Humano,2025-08,2025-08-01,KB-101120,,Retail,Tarjeta de crédito,Montevideo,91-180,Llamada,False,52.9,-0.378,dificultad_economica,3,No contactado,,,28220.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000046,G01,Gestor 01,Humano,2025-08,2025-08-30,KB-108922,,Retail,Préstamo personal,Montevideo,31-60,WhatsApp,False,68.5,-0.577,frustracion,4,Pago,,2025-08-30,47150.0,47150.0,1,0.0,41403.0,Abonó el total de la deuda.
GE-0000047,G01,Gestor 01,Humano,2025-08,2025-08-08,KB-104810,,Retail,Financiación retail,Canelones,31-60,Llamada,False,68.2,-0.02,objecion,4,Sin acuerdo,,,25100.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000048,G02,Gestor 02,Humano,2025-08,2025-08-04,KB-106519,,Corporativo,Crédito automotor,Rocha,91-180,WhatsApp,False,50.0,0.046,neutro,2,Promesa,2025-08-09,,1063390.0,1063390.0,4,0.0,411446.0,Arreglo de pago acordado; enviar comprobante.
GE-0000049,G02,Gestor 02,Humano,2025-08,2025-08-06,KB-105055,,Retail,Préstamo personal,Florida,1-30,Llamada,False,53.9,0.368,intencion_pago,3,Promesa,2025-08-11,,5770.0,5770.0,1,0.0,2867.0,Arreglo de pago acordado; enviar comprobante.
GE-0000050,G02,Gestor 02,Humano,2025-08,2025-08-18,KB-110556,,Pyme,Tarjeta de crédito,Tacuarembó,1-30,WhatsApp,False,43.7,0.383,intencion_pago,4,Pago,,2025-08-18,92090.0,87486.0,1,0.05,88552.0,Abonó el total de la deuda.
GE-0000051,G02,Gestor 02,Humano,2025-08,2025-08-19,KB-110585,,Pyme,Tarjeta de crédito,Montevideo,31-60,WhatsApp,False,50.4,-0.074,objecion,2,Promesa,2025-08-24,,46280.0,46280.0,3,0.0,23133.0,Arreglo de pago acordado; enviar comprobante.
GE-0000052,G02,Gestor 02,Humano,2025-08,2025-08-09,KB-104219,,Retail,Tarjeta de crédito,Maldonado,61-90,Llamada,False,54.4,-0.317,dificultad_economica,3,Promesa,2025-08-14,,38060.0,36157.0,2,0.05,20745.0,Arreglo de pago acordado; enviar comprobante.
GE-0000053,G02,Gestor 02,Humano,2025-08,2025-08-08,KB-106383,,Retail,Tarjeta de crédito,Soriano,1-30,WhatsApp,False,58.0,-0.066,objecion,3,Promesa,2025-08-13,,58030.0,58030.0,5,0.0,31123.0,Arreglo de pago acordado; enviar comprobante.
GE-0000054,G02,Gestor 02,Humano,2025-08,2025-08-11,KB-110760,,Retail,Tarjeta de crédito,Montevideo,91-180,WhatsApp,False,50.0,-0.43,ansiedad,4,Promesa,2025-08-16,,15130.0,14374.0,5,0.05,4631.0,Arreglo de pago acordado; enviar comprobante.
GE-0000055,G02,Gestor 02,Humano,2025-08,2025-08-20,KB-100095,,Pyme,Préstamo personal,Montevideo,31-60,WhatsApp,False,72.0,-0.207,ansiedad,4,Promesa,2025-08-25,,62180.0,62180.0,1,0.0,35909.0,Arreglo de pago acordado; enviar comprobante.
GE-0000056,G02,Gestor 02,Humano,2025-08,2025-08-30,KB-101516,,Retail,Microcrédito,Montevideo,1-30,Llamada,False,59.0,0.125,neutro,2,Sin acuerdo,,,120700.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000057,G02,Gestor 02,Humano,2025-08,2025-08-04,KB-105757,,Retail,Tarjeta de crédito,Canelones,1-30,WhatsApp,False,45.5,-0.695,enojo,4,Sin acuerdo,,,13300.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000058,G02,Gestor 02,Humano,2025-08,2025-08-06,KB-106614,,Retail,Microcrédito,Montevideo,31-60,WhatsApp,False,54.7,-0.02,neutro,2,No contactado,,,46020.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000059,G02,Gestor 02,Humano,2025-08,2025-08-20,KB-111205,,Retail,Cuenta corriente,Canelones,31-60,Llamada,False,48.3,-0.446,objecion,2,Pago,,2025-08-20,12220.0,10998.0,1,0.1,11550.0,Abonó el total de la deuda.
GE-0000060,G02,Gestor 02,Humano,2025-08,2025-08-14,KB-103377,,Pyme,Préstamo personal,Canelones,31-60,WhatsApp,False,50.6,-0.223,ansiedad,2,Promesa,2025-08-19,,115310.0,115310.0,6,0.0,65772.0,Arreglo de pago acordado; enviar comprobante.
GE-0000061,G02,Gestor 02,Humano,2025-08,2025-08-15,KB-106740,,Pyme,Préstamo personal,Montevideo,91-180,WhatsApp,False,68.9,-0.092,objecion,3,No contactado,,,87770.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000062,G02,Gestor 02,Humano,2025-08,2025-08-05,KB-111484,,Pyme,Préstamo personal,Montevideo,1-30,Llamada,False,45.5,0.468,intencion_pago,2,Pago,,2025-08-05,88620.0,88620.0,1,0.0,76211.0,Abonó el total de la deuda.
GE-0000063,G02,Gestor 02,Humano,2025-08,2025-08-21,KB-100536,,Pyme,Tarjeta de crédito,Maldonado,180+,Llamada,False,47.4,-0.44,frustracion,1,Pago,,2025-08-21,150060.0,150060.0,1,0.0,104020.0,Abonó el total de la deuda.
GE-0000064,G02,Gestor 02,Humano,2025-08,2025-08-29,KB-103146,,Pyme,Crédito automotor,Maldonado,180+,WhatsApp,False,41.0,-0.245,dificultad_economica,2,No contactado,,,180470.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000065,G02,Gestor 02,Humano,2025-08,2025-08-29,KB-111834,,Retail,Cuenta corriente,San José,180+,WhatsApp,False,44.1,-0.44,enojo,1,No contactado,,,16010.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000066,G02,Gestor 02,Humano,2025-08,2025-08-14,KB-108664,,Retail,Crédito automotor,San José,1-30,WhatsApp,False,54.6,-0.425,ansiedad,1,Sin acuerdo,,,24020.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000067,G02,Gestor 02,Humano,2025-08,2025-08-26,KB-104230,,Corporativo,Cuenta corriente,Maldonado,1-30,WhatsApp,False,54.6,-0.565,enojo,2,Pago,,2025-08-26,662350.0,629232.0,1,0.05,589604.0,Abonó el total de la deuda.
GE-0000068,G02,Gestor 02,Humano,2025-08,2025-08-22,KB-106130,,Pyme,Microcrédito,Tacuarembó,91-180,WhatsApp,False,58.7,-0.509,dificultad_economica,3,Pago,,2025-08-22,616690.0,585856.0,1,0.05,408256.0,Abonó el total de la deuda.
GE-0000069,G02,Gestor 02,Humano,2025-08,2025-08-27,KB-110399,,Retail,Tarjeta de crédito,Canelones,61-90,WhatsApp,False,46.2,-0.283,dificultad_economica,3,Promesa,2025-08-31,,51960.0,49362.0,6,0.05,23432.0,Arreglo de pago acordado; enviar comprobante.
GE-0000070,G02,Gestor 02,Humano,2025-08,2025-08-21,KB-111886,,Retail,Tarjeta de crédito,Cerro Largo,1-30,Llamada,False,54.8,0.08,neutro,2,Informado,,,27530.0,0.0,0,0.0,0.0,Se informó la deuda / se dejó mensaje.
GE-0000071,G02,Gestor 02,Humano,2025-08,2025-08-07,KB-106651,,Retail,Tarjeta de crédito,Montevideo,1-30,Llamada,False,33.3,0.673,intencion_pago,1,No contactado,,,14330.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000072,G02,Gestor 02,Humano,2025-08,2025-08-08,KB-103802,,Retail,Tarjeta de crédito,Montevideo,61-90,WhatsApp,False,43.7,-0.118,objecion,1,Fallecido,,,12520.0,0.0,0,0.0,0.0,Titular fallecido; derivar a legales.
GE-0000073,G02,Gestor 02,Humano,2025-08,2025-08-05,KB-104748,,Retail,Préstamo personal,Maldonado,1-30,Llamada,False,51.5,-0.2,neutro,3,No contactado,,,27470.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000074,G02,Gestor 02,Humano,2025-08,2025-08-11,KB-105814,,Retail,Tarjeta de crédito,Salto,1-30,Llamada,False,43.8,0.457,intencion_pago,1,Sin acuerdo,,,21630.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000075,G02,Gestor 02,Humano,2025-08,2025-08-09,KB-108220,,Retail,Préstamo personal,Canelones,91-180,Llamada,False,39.1,-0.813,enojo,2,No contactado,,,29020.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000076,G02,Gestor 02,Humano,2025-08,2025-08-07,KB-100339,,Retail,Microcrédito,Canelones,91-180,WhatsApp,False,48.5,-0.564,enojo,3,Sin acuerdo,,,25290.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000077,G02,Gestor 02,Humano,2025-08,2025-08-25,KB-110317,,Corporativo,Crédito automotor,Montevideo,91-180,Llamada,False,55.4,-0.177,ansiedad,3,Informado,,,640670.0,0.0,0,0.0,0.0,Se informó la deuda / se dejó mensaje.
GE-0000078,G02,Gestor 02,Humano,2025-08,2025-08-04,KB-107982,,Retail,Préstamo personal,Maldonado,31-60,Llamada,False,57.6,-0.674,enojo,2,Pago,,2025-08-04,72620.0,68989.0,1,0.05,62093.0,Abonó el total de la deuda.
GE-0000079,G02,Gestor 02,Humano,2025-08,2025-08-01,KB-106481,,Retail,Préstamo personal,Tacuarembó,91-180,WhatsApp,False,49.2,-0.183,objecion,3,No contactado,,,100870.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000080,G02,Gestor 02,Humano,2025-08,2025-08-12,KB-109554,,Pyme,Préstamo personal,Trinidad,180+,Llamada,False,44.9,-0.499,frustracion,3,Pago,,2025-08-12,82750.0,82750.0,1,0.0,50966.0,Abonó el total de la deuda.
GE-0000081,G02,Gestor 02,Humano,2025-08,2025-08-27,KB-108692,,Pyme,Cuenta corriente,Canelones,31-60,Llamada,False,44.8,0.491,intencion_pago,2,Promesa,2025-08-31,,105400.0,105400.0,2,0.0,38060.0,Arreglo de pago acordado; enviar comprobante.
GE-0000082,G02,Gestor 02,Humano,2025-08,2025-08-26,KB-106742,,Corporativo,Crédito automotor,Montevideo,1-30,Llamada,False,51.0,-0.183,neutro,3,Informado,,,720780.0,0.0,0,0.0,0.0,Se informó la deuda / se dejó mensaje.
GE-0000083,G02,Gestor 02,Humano,2025-08,2025-08-29,KB-104203,,Pyme,Microcrédito,Montevideo,61-90,Llamada,False,61.7,-0.271,objecion,2,Pago,,2025-08-29,75210.0,75210.0,1,0.0,54631.0,Abonó el total de la deuda.
GE-0000084,G03,Gestor 03,Humano,2025-08,2025-08-01,KB-106853,,Corporativo,Préstamo personal,Canelones,1-30,Llamada,False,59.8,-0.194,ansiedad,4,Pago,,2025-08-01,370440.0,296352.0,1,0.2,315905.0,Abonó el total de la deuda.
GE-0000085,G03,Gestor 03,Humano,2025-08,2025-08-01,KB-109764,,Retail,Tarjeta de crédito,Montevideo,91-180,Llamada,False,75.2,-0.494,dificultad_economica,5,Promesa,2025-08-06,,10510.0,9984.0,5,0.05,3776.0,Arreglo de pago acordado; enviar comprobante.
GE-0000086,G03,Gestor 03,Humano,2025-08,2025-08-14,KB-108833,,Pyme,Financiación retail,Maldonado,1-30,WhatsApp,False,83.1,0.571,intencion_pago,3,Pago,,2025-08-14,520110.0,416088.0,1,0.2,361230.0,Abonó el total de la deuda.
GE-0000087,G03,Gestor 03,Humano,2025-08,2025-08-06,KB-102360,,Retail,Préstamo personal,Montevideo,91-180,WhatsApp,False,83.0,-0.395,frustracion,5,Promesa,2025-08-11,,60470.0,57446.0,6,0.05,34033.0,Arreglo de pago acordado; enviar comprobante.
GE-0000088,G03,Gestor 03,Humano,2025-08,2025-08-22,KB-106197,,Retail,Tarjeta de crédito,Montevideo,61-90,Llamada,False,74.7,0.014,objecion,2,Pago,,2025-08-22,92610.0,92610.0,1,0.0,78304.0,Abonó el total de la deuda.
GE-0000089,G03,Gestor 03,Humano,2025-08,2025-08-21,KB-108973,,Retail,Cuenta corriente,Durazno,31-60,WhatsApp,False,82.6,0.194,neutro,5,Pago,,2025-08-21,18290.0,18290.0,1,0.0,12371.0,Abonó el total de la deuda.
GE-0000090,G03,Gestor 03,Humano,2025-08,2025-08-04,KB-107034,,Retail,Crédito automotor,Tacuarembó,1-30,Llamada,False,69.2,-0.56,enojo,3,No contactado,,,11290.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000091,G03,Gestor 03,Humano,2025-08,2025-08-08,KB-107885,,Retail,Préstamo personal,Maldonado,1-30,WhatsApp,False,69.1,-0.034,neutro,3,Pago,,2025-08-08,21470.0,20396.0,1,0.05,17958.0,Abonó el total de la deuda.
GE-0000092,G03,Gestor 03,Humano,2025-08,2025-08-19,KB-104380,,Pyme,Microcrédito,Soriano,180+,WhatsApp,False,54.5,-0.508,enojo,4,No contactado,,,50390.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000093,G03,Gestor 03,Humano,2025-08,2025-08-30,KB-108573,,Retail,Préstamo personal,Salto,61-90,WhatsApp,False,71.5,-0.088,dificultad_economica,5,Sin acuerdo,,,21800.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000094,G03,Gestor 03,Humano,2025-08,2025-08-12,KB-109695,,Pyme,Tarjeta de crédito,Cerro Largo,1-30,Llamada,False,70.5,0.483,intencion_pago,4,Promesa,2025-08-17,,83850.0,83850.0,5,0.0,32022.0,Arreglo de pago acordado; enviar comprobante.
GE-0000095,G03,Gestor 03,Humano,2025-08,2025-08-06,KB-102532,,Retail,Préstamo personal,Canelones,1-30,WhatsApp,False,70.9,-0.403,frustracion,5,Número erróneo,,,66070.0,0.0,0,0.0,0.0,Teléfono incorrecto; actualizar dato.
GE-0000096,G03,Gestor 03,Humano,2025-08,2025-08-22,KB-108117,,Retail,Microcrédito,Canelones,31-60,Llamada,False,53.9,-0.427,frustracion,3,Informado,,,27000.0,0.0,0,0.0,0.0,Se informó la deuda / se dejó mensaje.
GE-0000097,G03,Gestor 03,Humano,2025-08,2025-08-06,KB-100092,,Pyme,Préstamo personal,Colonia,61-90,WhatsApp,False,81.2,-0.039,objecion,3,Promesa,2025-08-11,,112880.0,112880.0,6,0.0,60163.0,Arreglo de pago acordado; enviar comprobante.
GE-0000098,G03,Gestor 03,Humano,2025-08,2025-08-12,KB-110144,,Pyme,Tarjeta de crédito,Soriano,91-180,WhatsApp,False,66.1,0.085,neutro,5,Informado,,,133820.0,0.0,0,0.0,0.0,Se informó la deuda / se dejó mensaje.
GE-0000099,G03,Gestor 03,Humano,2025-08,2025-08-14,KB-107135,,Pyme,Préstamo personal,Montevideo,1-30,Llamada,False,94.2,0.136,neutro,6,Sin acuerdo,,,93680.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000100,G03,Gestor 03,Humano,2025-08,2025-08-07,KB-108076,,Retail,Crédito automotor,Montevideo,31-60,Llamada,False,69.0,0.097,neutro,4,Promesa,2025-08-12,,30940.0,30940.0,1,0.0,15178.0,Arreglo de pago acordado; enviar comprobante.
GE-0000101,G03,Gestor 03,Humano,2025-08,2025-08-14,KB-105300,,Pyme,Financiación retail,Tacuarembó,1-30,Llamada,False,68.3,-0.142,objecion,4,Pago,,2025-08-14,61540.0,58463.0,1,0.05,57480.0,Abonó el total de la deuda.
GE-0000102,G03,Gestor 03,Humano,2025-08,2025-08-07,KB-111735,,Retail,Tarjeta de crédito,Montevideo,180+,Llamada,False,71.0,-0.258,frustracion,4,Promesa,2025-08-12,,28840.0,28840.0,6,0.0,14018.0,Arreglo de pago acordado; enviar comprobante.
