id_deudor,segmento,producto,departamento,monto_deuda,dias_mora,cuotas_atrasadas,antiguedad_cliente_meses,score_buro,ingreso_estimado,pagos_ultimos_12m,promesas_cumplidas,promesas_incumplidas,contactabilidad,gestiones_previas,canal_preferido,pago,tramo_mora
KB-100026,Retail,Financiación retail,Canelones,4470.0,51,1,117,467,21500.0,7,5,5,0.708,4,WhatsApp,0,31-60
KB-100027,Retail,Préstamo personal,Montevideo,13700.0,27,1,93,704,38800.0,3,2,0,0.542,1,WhatsApp,1,1-30
KB-100028,Retail,Tarjeta de crédito,Canelones,9010.0,64,3,140,427,42100.0,5,1,0,0.356,2,WhatsApp,0,61-90
KB-100029,Retail,Préstamo personal,Montevideo,8660.0,76,2,44,714,25300.0,3,2,2,0.495,7,WhatsApp,1,61-90
KB-100030,Retail,Préstamo personal,Montevideo,7720.0,11,1,30,393,111900.0,5,4,0,0.604,1,WhatsApp,0,1-30
KB-100031,Retail,Préstamo personal,Artigas,27750.0,82,3,112,540,29400.0,4,0,0,0.73,6,Email,0,61-90
KB-100032,Retail,Tarjeta de crédito,Montevideo,17950.0,74,3,74,478,52600.0,5,5,1,0.17,8,SMS,0,61-90
KB-100033,Pyme,Préstamo personal,Montevideo,474450.0,6,1,176,564,116400.0,9,2,1,0.657,4,Email,0,1-30
KB-100034,Retail,Préstamo personal,Montevideo,20230.0,128,5,47,596,25500.0,5,1,4,0.567,5,WhatsApp,0,91-180
KB-100035,Retail,Cuenta corriente,Maldonado,14710.0,49,1,67,610,46900.0,5,2,1,0.639,5,Llamada,1,31-60
KB-100036,Retail,Préstamo personal,Florida,29240.0,146,5,93,804,40400.0,4,5,0,0.609,2,WhatsApp,1,91-180
KB-100037,Retail,Crédito automotor,Canelones,32940.0,36,1,34,250,54800.0,5,5,3,0.867,3,SMS,0,31-60
KB-100038,Retail,Tarjeta de crédito,Montevideo,22070.0,43,2,71,640,25600.0,8,5,0,0.319,8,WhatsApp,1,31-60
KB-100039,Pyme,Tarjeta de crédito,Durazno,210870.0,32,1,62,506,62900.0,5,5,0,0.489,3,WhatsApp,1,31-60
KB-100040,Retail,Crédito automotor,Durazno,35840.0,52,1,126,512,13400.0,6,3,2,0.71,5,WhatsApp,0,31-60
KB-100041,Corporativo,Cuenta corriente,Río Negro,176740.0,46,2,137,877,20800.0,6,3,1,0.558,5,WhatsApp,0,31-60
KB-100042,Retail,Préstamo personal,Canelones,192230.0,51,1,176,591,40800.0,6,0,1,0.709,7,Llamada,1,31-60
KB-100043,Retail,Crédito automotor,Montevideo,43940.0,104,4,148,729,70400.0,7,1,0,0.612,0,WhatsApp,1,91-180
KB-100044,Retail,Crédito automotor,Tacuarembó,25110.0,23,1,155,443,38400.0,6,3,1,0.224,2,WhatsApp,1,1-30
KB-100045,Retail,Cuenta corriente,Montevideo,52780.0,19,1,117,650,47100.0,9,2,1,0.522,3,Email,1,1-30
KB-100046,Retail,Tarjeta de crédito,Montevideo,36030.0,26,1,101,455,62800.0,0,0,2,0.557,3,WhatsApp,0,1-30
KB-100047,Retail,Crédito automotor,Montevideo,12830.0,13,1,76,614,41900.0,4,2,1,0.558,2,WhatsApp,1,1-30
KB-100048,Retail,Cuenta corriente,San José,66400.0,123,4,179,442,59200.0,8,4,1,0.621,4,WhatsApp,0,91-180
KB-100049,Pyme,Financiación retail,Florida,95110.0,24,1,81,757,28600.0,5,1,1,0.727,7,SMS,1,1-30
KB-100050,Corporativo,Tarjeta de crédito,Montevideo,314970.0,40,2,101,531,85500.0,3,3,1,0.934,2,Email,1,31-60
KB-100051,Retail,Financiación retail,Rocha,16930.0,90,4,107,566,14100.0,8,5,2,0.871,2,Llamada,1,61-90
KB-100052,Pyme,Tarjeta de crédito,Maldonado,131010.0,25,1,94,353,41400.0,4,1,1,0.702,4,Llamada,0,1-30
KB-100053,Corporativo,Préstamo personal,Colonia,1232230.0,235,8,9,633,21800.0,2,4,3,0.608,7,Email,0,180+
KB-100054,Pyme,Financiación retail,Montevideo,146040.0,121,4,98,597,99800.0,5,4,3,0.422,4,SMS,0,91-180
KB-100055,Retail,Préstamo personal,Montevideo,19070.0,20,1,102,593,63500.0,7,2,2,0.548,2,Llamada,1,1-30
KB-100056,Retail,Préstamo personal,Paysandú,45340.0,250,9,34,447,18000.0,5,4,2,0.852,10,WhatsApp,0,180+
KB-100057,Pyme,Financiación retail,Montevideo,157590.0,73,3,91,392,21000.0,5,1,1,0.289,2,Llamada,0,61-90
KB-100058,Pyme,Microcrédito,Montevideo,220230.0,62,3,27,583,31600.0,4,1,3,0.446,3,WhatsApp,0,61-90
KB-100059,Retail,Préstamo personal,Montevideo,39490.0,83,2,67,341,49800.0,11,3,1,0.6,3,Email,0,61-90
KB-100060,Corporativo,Cuenta corriente,Artigas,1150760.0,91,3,48,737,38900.0,4,4,3,0.408,4,Llamada,0,91-180
KB-100061,Retail,Préstamo personal,Rocha,30130.0,48,2,78,563,39300.0,4,3,1,0.782,3,Email,1,31-60
KB-100062,Retail,Préstamo personal,Montevideo,10190.0,96,3,115,465,54600.0,6,2,0,0.48,6,WhatsApp,1,91-180
KB-100063,Corporativo,Tarjeta de crédito,Montevideo,109180.0,14,1,7,635,45500.0,6,5,0,0.441,5,Email,1,1-30
KB-100064,Pyme,Cuenta corriente,San José,75460.0,22,1,43,566,41500.0,8,2,4,0.567,3,Email,1,1-30
KB-100065,Pyme,Tarjeta de crédito,Río Negro,121550.0,63,3,138,350,76400.0,4,1,1,0.673,2,SMS,1,61-90
KB-100066,Pyme,Préstamo personal,Soriano,71290.0,44,2,96,499,163700.0,5,5,1,0.617,5,SMS,0,31-60
KB-100067,Corporativo,Tarjeta de crédito,Montevideo,162020.0,13,1,22,473,127700.0,5,2,1,0.332,3,Email,1,1-30
KB-100068,Retail,Préstamo personal,Tacuarembó,10740.0,61,3,154,484,52700.0,6,2,2,0.572,4,WhatsApp,1,61-90
KB-100069,Retail,Tarjeta de crédito,Paysandú,19610.0,66,3,85,781,82100.0,7,3,1,0.756,3,WhatsApp,1,61-90
KB-100070,Pyme,Microcrédito,Montevideo,83970.0,15,1,169,502,43400.0,10,4,0,0.621,7,Llamada,1,1-30
KB-100071,Retail,Tarjeta de crédito,Treinta y Tres,14570.0,49,1,143,567,24000.0,8,2,2,0.573,1,WhatsApp,1,31-60
KB-100072,Pyme,Préstamo personal,Montevideo,159550.0,102,3,4,695,55100.0,6,3,2,0.689,7,WhatsApp,1,91-180
KB-100073,Retail,Microcrédito,Montevideo,6600.0,54,1,110,585,18800.0,5,5,1,0.483,4,SMS,0,31-60
KB-100074,Retail,Microcrédito,Rocha,36490.0,265,9,99,631,8900.0,4,4,3,0.318,9,Email,0,180+
KB-100075,Retail,Financiación retail,Montevideo,11390.0,70,2,27,325,29300.0,4,3,3,0.337,4,WhatsApp,0,61-90
KB-100076,Retail,Préstamo personal,Montevideo,19900.0,24,1,94,520,47000.0,4,2,1,0.483,3,Llamada,1,1-30
KB-100077,Retail,Préstamo personal,San José,39410.0,15,1,108,571,55000.0,7,4,1,0.39,5,WhatsApp,0,1-30
KB-100078,Retail,Tarjeta de crédito,Montevideo,40430.0,124,4,90,457,47600.0,7,4,0,0.538,4,WhatsApp,1,91-180
KB-100079,Pyme,Tarjeta de crédito,Montevideo,49240.0,117,3,39,573,23900.0,2,5,1,0.627,8,WhatsApp,1,91-180
KB-100080,Retail,Financiación retail,Montevideo,21170.0,29,1,44,525,45800.0,5,3,0,0.609,9,Email,1,1-30
KB-100081,Retail,Financiación retail,Montevideo,79260.0,102,3,17,467,67800.0,7,3,1,0.485,6,WhatsApp,0,91-180
KB-100082,Retail,Tarjeta de crédito,Canelones,36160.0,39,2,46,863,36000.0,7,0,0,0.645,2,Email,1,31-60
KB-100083,Retail,Préstamo personal,Salto,14870.0,362,13,161,638,53300.0,3,1,2,0.865,10,WhatsApp,0,180+
KB-100084,Retail,Crédito automotor,Montevideo,13340.0,134,4,157,544,34300.0,3,3,1,0.478,8,SMS,0,91-180
KB-100085,Retail,Tarjeta de crédito,Colonia,53410.0,15,1,17,447,44700.0,9,0,0,0.983,3,Llamada,1,1-30
KB-100086,Retail,Financiación retail,San José,14300.0,46,1,175,455,20600.0,4,5,3,0.141,4,SMS,0,31-60
KB-100087,Retail,Tarjeta de crédito,Montevideo,37580.0,74,2,32,532,16100.0,2,0,0,0.574,4,Llamada,1,61-90
KB-100088,Pyme,Préstamo personal,Canelones,145860.0,179,6,67,686,18600.0,2,0,0,0.944,2,WhatsApp,0,91-180
KB-100089,Retail,Tarjeta de crédito,Canelones,19050.0,68,2,90,727,51200.0,6,4,1,0.63,3,WhatsApp,1,61-90
KB-100090,Retail,Préstamo personal,Colonia,14310.0,84,3,27,555,33800.0,4,5,2,0.69,3,Llamada,1,61-90
KB-100091,Pyme,Microcrédito,Artigas,42270.0,51,2,100,602,86300.0,7,5,0,0.708,2,WhatsApp,1,31-60
KB-100092,Pyme,Préstamo personal,Colonia,112880.0,77,3,149,662,19100.0,9,4,2,0.516,9,WhatsApp,1,61-90
KB-100093,Pyme,Crédito automotor,Montevideo,384820.0,24,1,132,704,93500.0,7,4,0,0.963,3,WhatsApp,1,1-30
KB-100094,Retail,Microcrédito,Rivera,13520.0,32,2,10,543,46100.0,5,3,2,0.506,6,WhatsApp,1,31-60
KB-100095,Pyme,Préstamo personal,Montevideo,62180.0,38,2,30,731,63800.0,10,0,2,0.557,4,Llamada,1,31-60
KB-100096,Corporativo,Préstamo personal,Montevideo,272180.0,25,1,90,544,13300.0,3,1,0,0.803,5,WhatsApp,1,1-30
KB-100097,Corporativo,Préstamo personal,Canelones,545730.0,76,2,98,337,39400.0,4,2,0,0.537,3,WhatsApp,0,61-90
KB-100098,Pyme,Crédito automotor,Montevideo,54400.0,450,16,16,639,62800.0,3,2,5,0.37,8,WhatsApp,0,180+
KB-100099,Pyme,Financiación retail,Soriano,315690.0,27,1,167,437,49600.0,4,3,2,0.435,3,Llamada,0,1-30
KB-100100,Retail,Cuenta corriente,Montevideo,28510.0,173,6,143,641,28000.0,8,1,2,0.323,7,Llamada,0,91-180
KB-100101,Retail,Tarjeta de crédito,Tacuarembó,85830.0,100,3,144,759,49800.0,7,2,3,0.751,3,Llamada,1,91-180
KB-100102,Pyme,Microcrédito,Canelones,96270.0,57,2,31,597,165400.0,4,1,1,0.391,4,Email,0,31-60
KB-100103,Retail,Tarjeta de crédito,Artigas,26530.0,33,2,100,746,34400.0,5,1,0,0.538,3,Llamada,1,31-60
KB-100104,Retail,Microcrédito,Tacuarembó,13060.0,144,5,143,741,75000.0,5,3,4,0.484,5,WhatsApp,1,91-180
KB-100105,Retail,Préstamo personal,Salto,66370.0,35,2,124,483,36200.0,9,3,3,0.693,2,Email,1,31-60
KB-100106,Retail,Préstamo personal,Soriano,12880.0,8,1,6,349,47200.0,6,5,1,0.497,4,Email,0,1-30
KB-100107,Pyme,Crédito automotor,Montevideo,897880.0,3,1,141,620,25400.0,4,0,1,0.494,6,Llamada,1,1-30
KB-100108,Retail,Tarjeta de crédito,Montevideo,22430.0,13,1,74,432,27700.0,3,2,0,0.477,3,WhatsApp,1,1-30
KB-100109,Retail,Tarjeta de crédito,Canelones,9150.0,8,1,169,425,44600.0,7,5,1,0.694,3,SMS,1,1-30
KB-100110,Corporativo,Tarjeta de crédito,Colonia,324180.0,62,2,121,686,40700.0,5,5,1,0.294,5,Llamada,1,61-90
KB-100111,Pyme,Tarjeta de crédito,Montevideo,46220.0,23,1,3,268,21400.0,8,0,0,0.513,2,WhatsApp,0,1-30
KB-100112,Corporativo,Microcrédito,Rocha,181800.0,124,5,47,447,69200.0,4,1,3,0.857,5,WhatsApp,0,91-180
KB-100113,Retail,Préstamo personal,Maldonado,17140.0,82,3,56,664,51700.0,7,1,0,0.473,2,Email,1,61-90
KB-100114,Pyme,Microcrédito,Colonia,152970.0,152,5,170,407,67200.0,5,2,3,0.366,5,WhatsApp,0,91-180
KB-100115,Retail,Financiación retail,San José,33610.0,268,8,175,458,41400.0,6,1,1,0.67,8,WhatsApp,0,180+
KB-100116,Pyme,Microcrédito,Soriano,88230.0,50,1,110,697,38200.0,6,2,6,0.639,2,WhatsApp,0,31-60
KB-100117,Retail,Financiación retail,San José,25090.0,95,4,60,606,80900.0,7,4,1,0.624,3,WhatsApp,1,91-180
KB-100118,Retail,Microcrédito,Lavalleja,19750.0,63,3,18,518,84800.0,6,2,0,0.713,5,Llamada,1,61-90
KB-100119,Retail,Préstamo personal,Montevideo,31590.0,16,1,164,656,23400.0,6,3,3,0.696,1,Email,1,1-30
KB-100120,Retail,Tarjeta de crédito,Florida,29500.0,61,3,32,590,86600.0,5,1,2,0.683,1,SMS,0,61-90
KB-100121,Corporativo,Financiación retail,Salto,986160.0,46,2,1,478,33200.0,5,5,1,0.615,5,Email,0,31-60
KB-100122,Retail,Crédito automotor,Canelones,15620.0,17,1,93,370,30200.0,6,4,0,0.375,6,WhatsApp,1,1-30
KB-100123,Retail,Cuenta corriente,Montevideo,16340.0,71,3,8,382,25900.0,4,5,1,0.743,7,WhatsApp,0,61-90
KB-100124,Retail,Préstamo personal,Montevideo,18330.0,120,5,113,651,25200.0,9,0,1,0.631,1,Llamada,1,91-180
KB-100125,Corporativo,Financiación retail,Canelones,1450760.0,48,1,12,410,81800.0,2,5,4,0.775,4,WhatsApp,0,31-60
KB-100126,Retail,Tarjeta de crédito,Artigas,12520.0,45,1,61,496,55100.0,7,3,0,0.743,5,WhatsApp,1,31-60
KB-100127,Retail,Crédito automotor,Montevideo,20250.0,243,8,116,596,33800.0,2,4,0,0.537,11,WhatsApp,0,180+
KB-100128,Corporativo,Préstamo personal,Paysandú,1501160.0,11,1,20,519,48600.0,8,4,1,0.542,1,WhatsApp,1,1-30
KB-100129,Pyme,Préstamo personal,Cerro Largo,203960.0,64,2,118,593,48900.0,8,4,1,0.587,0,Llamada,1,61-90
KB-100130,Retail,Préstamo personal,Montevideo,27470.0,85,2,122,576,38500.0,3,0,4,0.602,2,WhatsApp,0,61-90
KB-100131,Pyme,Crédito automotor,Montevideo,46210.0,186,7,79,423,61100.0,12,1,1,0.198,1,Llamada,0,180+
KB-100132,Pyme,Microcrédito,San José,119620.0,74,3,75,719,44600.0,12,0,3,0.559,3,Email,1,61-90
KB-100133,Retail,Préstamo personal,Canelones,44040.0,32,1,143,750,27900.0,6,3,2,0.237,4,Email,1,31-60
KB-100134,Corporativo,Crédito automotor,Canelones,1504790.0,19,1,175,730,71700.0,6,1,1,0.58,3,WhatsApp,1,1-30
KB-100135,Corporativo,Cuenta corriente,Montevideo,2381640.0,39,2,53,630,25100.0,5,1,1,0.563,3,WhatsApp,1,31-60
KB-100136,Retail,Préstamo personal,Salto,10650.0,34,2,160,762,40000.0,6,0,3,0.529,1,SMS,1,31-60
KB-100137,Retail,Crédito automotor,Montevideo,55470.0,27,1,145,527,39500.0,3,4,1,0.831,3,WhatsApp,1,1-30
KB-100138,Retail,Préstamo personal,Canelones,26070.0,5,1,39,604,49100.0,4,5,1,0.412,4,Llamada,1,1-30
KB-100139,Retail,Microcrédito,Montevideo,18040.0,54,2,34,685,167700.0,5,4,2,0.46,1,SMS,1,31-60
KB-100140,Retail,Microcrédito,Montevideo,34330.0,86,3,120,478,27300.0,12,3,4,0.472,6,Email,0,61-90
KB-100141,Retail,Microcrédito,Montevideo,27180.0,11,1,36,600,40400.0,7,0,0,0.948,1,Email,1,1-30
KB-100142,Retail,Crédito automotor,Maldonado,19660.0,57,2,122,402,56100.0,5,2,1,0.532,5,WhatsApp,1,31-60
KB-100143,Retail,Tarjeta de crédito,Salto,22140.0,117,3,75,540,46400.0,3,0,4,0.504,3,WhatsApp,0,91-180
KB-100144,Pyme,Cuenta corriente,San José,115470.0,62,2,6,760,30600.0,8,0,1,0.445,7,Llamada,1,61-90
KB-100145,Retail,Tarjeta de crédito,Montevideo,40670.0,41,2,109,680,56700.0,4,5,2,0.655,4,WhatsApp,1,31-60
KB-100146,Corporativo,Tarjeta de crédito,Montevideo,2684770.0,14,1,75,761,36100.0,8,5,1,0.768,3,WhatsApp,1,1-30
KB-100147,Pyme,Microcrédito,Canelones,273480.0,88,2,158,583,104600.0,8,4,0,0.367,6,SMS,1,61-90
KB-100148,Retail,Tarjeta de crédito,Montevideo,98260.0,37,1,62,547,200100.0,2,4,1,0.592,1,Email,1,31-60
KB-100149,Retail,Financiación retail,Lavalleja,11750.0,10,1,107,417,55800.0,3,0,0,0.375,2,WhatsApp,1,1-30
KB-100150,Corporativo,Préstamo personal,Canelones,1916390.0,14,1,37,461,45700.0,5,0,0,0.704,5,WhatsApp,1,1-30
KB-100151,Retail,Préstamo personal,Canelones,8810.0,41,1,129,365,93300.0,4,2,1,0.644,2,Llamada,1,31-60
KB-100152,Retail,Préstamo personal,Paysandú,9860.0,63,2,57,658,53800.0,9,0,1,0.549,5,WhatsApp,1,61-90
KB-100153,Retail,Tarjeta de crédito,Paysandú,15810.0,167,6,98,452,91100.0,8,0,3,0.545,3,WhatsApp,0,91-180
KB-100154,Retail,Préstamo personal,Canelones,12250.0,68,3,131,441,51800.0,5,4,1,0.6,6,Llamada,1,61-90
KB-100155,Corporativo,Préstamo personal,Colonia,2547310.0,180,7,93,756,75500.0,10,2,1,0.587,7,Llamada,0,91-180
KB-100156,Pyme,Microcrédito,Montevideo,69360.0,8,1,69,675,42000.0,4,2,1,0.701,0,SMS,1,1-30
KB-100157,Retail,Préstamo personal,Canelones,35980.0,135,5,71,547,13100.0,2,5,3,0.418,10,WhatsApp,1,91-180
KB-100158,Retail,Préstamo personal,Paysandú,39550.0,74,3,51,531,60500.0,5,0,2,0.651,4,WhatsApp,0,61-90
KB-100159,Retail,Crédito automotor,Montevideo,13360.0,88,2,33,548,77300.0,5,2,1,0.79,2,WhatsApp,0,61-90
KB-100160,Retail,Crédito automotor,San José,72690.0,91,3,92,819,41600.0,4,1,0,0.604,2,Llamada,1,91-180
KB-100161,Retail,Financiación retail,Artigas,33290.0,103,3,123,547,58500.0,8,3,2,0.546,4,SMS,1,91-180
KB-100162,Corporativo,Crédito automotor,Montevideo,907690.0,18,1,106,450,51800.0,8,1,1,0.526,5,Llamada,0,1-30
KB-100163,Pyme,Cuenta corriente,Montevideo,399660.0,41,2,111,404,30400.0,5,3,0,0.826,2,WhatsApp,0,31-60
KB-100164,Pyme,Préstamo personal,Montevideo,44490.0,18,1,131,462,50100.0,6,2,2,0.275,6,Llamada,0,1-30
KB-100165,Retail,Tarjeta de crédito,Montevideo,60510.0,56,1,30,419,55100.0,4,4,0,0.816,5,WhatsApp,0,31-60
KB-100166,Retail,Crédito automotor,Montevideo,14680.0,22,1,136,618,38400.0,4,5,2,0.632,1,Email,1,1-30
KB-100167,Retail,Microcrédito,Canelones,31960.0,10,1,92,639,32900.0,5,0,0,0.781,6,WhatsApp,1,1-30
KB-100168,Retail,Tarjeta de crédito,Soriano,22590.0,25,1,82,549,34000.0,6,1,0,0.32,2,WhatsApp,1,1-30
KB-100169,Corporativo,Préstamo personal,Montevideo,387420.0,132,5,178,685,56800.0,3,2,3,0.488,5,WhatsApp,0,91-180
KB-100170,Retail,Cuenta corriente,Trinidad,82280.0,4,1,65,420,26700.0,5,0,1,0.876,5,WhatsApp,0,1-30
KB-100171,Retail,Préstamo personal,San José,14660.0,10,1,75,607,93600.0,9,3,0,0.689,3,WhatsApp,0,1-30
KB-100172,Retail,Tarjeta de crédito,Montevideo,5940.0,45,2,130,573,24500.0,1,2,0,0.432,2,Llamada,0,31-60
KB-100173,Retail,Préstamo personal,Rivera,31210.0,29,1,136,701,31600.0,6,1,0,0.74,5,Email,1,1-30
KB-100174,Corporativo,Crédito automotor,Artigas,303480.0,124,5,131,615,37200.0,9,5,1,0.391,6,Llamada,1,91-180
KB-100175,Retail,Préstamo personal,Florida,24060.0,54,1,20,422,52800.0,5,5,1,0.616,2,Llamada,1,31-60
KB-100176,Retail,Financiación retail,Durazno,56410.0,70,3,84,434,60500.0,5,5,0,0.429,4,Email,1,61-90
KB-100177,Pyme,Préstamo personal,Montevideo,60640.0,16,1,51,625,47300.0,2,4,1,0.571,4,Email,1,1-30
KB-100178,Retail,Préstamo personal,Paysandú,45830.0,47,1,120,579,90100.0,7,4,1,0.705,4,Llamada,1,31-60
KB-100179,Retail,Tarjeta de crédito,Canelones,30720.0,107,4,13,411,35000.0,6,5,2,0.521,4,WhatsApp,1,91-180
KB-100180,Retail,Crédito automotor,Soriano,14360.0,37,1,95,404,7900.0,9,0,0,0.533,4,WhatsApp,0,31-60
KB-100181,Retail,Préstamo personal,Canelones,8640.0,57,1,118,469,177400.0,9,4,2,0.393,5,Llamada,0,31-60
KB-100182,Pyme,Tarjeta de crédito,Maldonado,264530.0,354,12,93,463,41500.0,1,4,3,0.495,13,WhatsApp,0,180+
KB-100183,Retail,Cuenta corriente,Canelones,31980.0,108,3,71,422,53000.0,6,5,3,0.508,5,WhatsApp,0,91-180
KB-100184,Retail,Crédito automotor,Canelones,9890.0,176,6,105,581,71000.0,4,4,3,0.771,6,Llamada,1,91-180
KB-100185,Retail,Financiación retail,Rivera,63520.0,66,2,33,568,18800.0,5,1,2,0.619,5,WhatsApp,0,61-90
KB-100186,Retail,Tarjeta de crédito,Montevideo,107350.0,194,7,52,551,46000.0,6,2,0,0.35,11,WhatsApp,0,180+
KB-100187,Retail,Tarjeta de crédito,Colonia,35690.0,18,1,88,360,23700.0,2,3,2,0.552,4,Email,0,1-30
KB-100188,Corporativo,Préstamo personal,Montevideo,984270.0,63,3,60,571,27000.0,2,2,1,0.342,3,Llamada,1,61-90
KB-100189,Pyme,Microcrédito,Montevideo,87320.0,61,2,139,589,106500.0,5,0,1,0.785,8,Llamada,1,61-90
KB-100190,Retail,Cuenta corriente,Montevideo,34540.0,33,2,36,573,17100.0,6,0,0,0.793,3,Llamada,1,31-60
KB-100191,Pyme,Préstamo personal,Canelones,133980.0,231,8,10,436,54400.0,5,1,1,0.297,7,Llamada,0,180+
KB-100192,Retail,Financiación retail,Canelones,29380.0,31,2,168,516,53500.0,11,5,2,0.65,6,SMS,1,31-60
KB-100193,Pyme,Préstamo personal,Canelones,53410.0,46,1,78,469,56100.0,5,5,0,0.315,3,WhatsApp,0,31-60
KB-100194,Pyme,Tarjeta de crédito,Montevideo,261670.0,53,1,150,504,10500.0,5,0,0,0.747,5,WhatsApp,0,31-60
KB-100195,Pyme,Tarjeta de crédito,San José,224820.0,229,7,112,692,55900.0,1,3,3,0.454,3,Llamada,0,180+
KB-100196,Retail,Crédito automotor,Colonia,63190.0,107,3,158,808,38100.0,5,1,0,0.547,2,WhatsApp,1,91-180
KB-100197,Retail,Financiación retail,Durazno,37640.0,30,1,68,626,38600.0,3,2,1,0.556,0,WhatsApp,1,1-30
KB-100198,Pyme,Financiación retail,Montevideo,93860.0,187,6,113,663,109700.0,4,5,2,0.742,7,WhatsApp,1,180+
KB-100199,Retail,Crédito automotor,Maldonado,37350.0,351,12,66,496,80300.0,12,5,2,0.398,12,Llamada,0,180+
KB-100200,Pyme,Tarjeta de crédito,Montevideo,103960.0,47,1,51,640,44300.0,5,4,0,0.581,2,WhatsApp,1,31-60
KB-100201,Corporativo,Tarjeta de crédito,Montevideo,437370.0,44,2,45,508,21300.0,6,3,1,0.737,7,SMS,0,31-60
KB-100202,Retail,Tarjeta de crédito,Montevideo,17360.0,66,3,14,603,29600.0,8,3,2,0.813,5,WhatsApp,1,61-90
KB-100203,Retail,Préstamo personal,Canelones,39030.0,39,2,70,364,14700.0,5,3,0,0.596,3,WhatsApp,1,31-60
KB-100204,Pyme,Préstamo personal,San José,51230.0,29,1,131,790,57800.0,6,5,4,0.853,4,Email,1,1-30
KB-100205,Corporativo,Préstamo personal,Montevideo,1418740.0,19,1,133,308,51000.0,4,0,1,0.682,3,WhatsApp,0,1-30
KB-100206,Retail,Préstamo personal,Paysandú,33540.0,195,7,143,586,47400.0,3,5,0,0.368,4,WhatsApp,1,180+
