id_cuenta,monto_deuda,dias_mora,cuotas_atrasadas,antiguedad_cliente_meses,score_buro,ingreso_estimado,pagos_ultimos_12m,promesas_cumplidas,promesas_incumplidas,contactabilidad,gestiones_previas,segmento,producto,departamento,canal_preferido
AC-00070,19610.0,66,3,85,781,82100.0,7,3,1,0.756,3,Retail,Tarjeta de crédito,Paysandú,WhatsApp
AC-00071,83970.0,15,1,169,502,43400.0,10,4,0,0.621,7,Pyme,Microcrédito,Montevideo,Llamada
AC-00072,14570.0,49,1,143,567,24000.0,8,2,2,0.573,1,Retail,Tarjeta de crédito,Treinta y Tres,WhatsApp
AC-00073,159550.0,102,3,4,695,55100.0,6,3,2,0.689,7,Pyme,Préstamo personal,Montevideo,WhatsApp
AC-00074,6600.0,54,1,110,585,18800.0,5,5,1,0.483,4,Retail,Microcrédito,Montevideo,SMS
AC-00075,36490.0,265,9,99,631,8900.0,4,4,3,0.318,9,Retail,Microcrédito,Rocha,Email
AC-00076,11390.0,70,2,27,325,29300.0,4,3,3,0.337,4,Retail,Financiación retail,Montevideo,WhatsApp
AC-00077,19900.0,24,1,94,520,47000.0,4,2,1,0.483,3,Retail,Préstamo personal,Montevideo,Llamada
AC-00078,39410.0,15,1,108,571,55000.0,7,4,1,0.39,5,Retail,Préstamo personal,San José,WhatsApp
AC-00079,40430.0,124,4,90,457,47600.0,7,4,0,0.538,4,Retail,Tarjeta de crédito,Montevideo,WhatsApp
AC-00080,49240.0,117,3,39,573,23900.0,2,5,1,0.627,8,Pyme,Tarjeta de crédito,Montevideo,WhatsApp
AC-00081,21170.0,29,1,44,525,45800.0,5,3,0,0.609,9,Retail,Financiación retail,Montevideo,Email
AC-00082,79260.0,102,3,17,467,67800.0,7,3,1,0.485,6,Retail,Financiación retail,Montevideo,WhatsApp
AC-00083,36160.0,39,2,46,863,36000.0,7,0,0,0.645,2,Retail,Tarjeta de crédito,Canelones,Email
AC-00084,14870.0,362,13,161,638,53300.0,3,1,2,0.865,10,Retail,Préstamo personal,Salto,WhatsApp
AC-00085,13340.0,134,4,157,544,34300.0,3,3,1,0.478,8,Retail,Crédito automotor,Montevideo,SMS
AC-00086,53410.0,15,1,17,447,44700.0,9,0,0,0.983,3,Retail,Tarjeta de crédito,Colonia,Llamada
AC-00087,14300.0,46,1,175,455,20600.0,4,5,3,0.141,4,Retail,Financiación retail,San José,SMS
AC-00088,37580.0,74,2,32,532,16100.0,2,0,0,0.574,4,Retail,Tarjeta de crédito,Montevideo,Llamada
AC-00089,145860.0,179,6,67,686,18600.0,2,0,0,0.944,2,Pyme,Préstamo personal,Canelones,WhatsApp
AC-00090,19050.0,68,2,90,727,51200.0,6,4,1,0.63,3,Retail,Tarjeta de crédito,Canelones,WhatsApp
AC-00091,14310.0,84,3,27,555,33800.0,4,5,2,0.69,3,Retail,Préstamo personal,Colonia,Llamada
AC-00092,42270.0,51,2,100,602,86300.0,7,5,0,0.708,2,Pyme,Microcrédito,Artigas,WhatsApp
AC-00093,112880.0,77,3,149,662,19100.0,9,4,2,0.516,9,Pyme,Préstamo personal,Colonia,WhatsApp
AC-00094,384820.0,24,1,132,704,93500.0,7,4,0,0.963,3,Pyme,Crédito automotor,Montevideo,WhatsApp
AC-00095,13520.0,32,2,10,543,46100.0,5,3,2,0.506,6,Retail,Microcrédito,Rivera,WhatsApp
AC-00096,62180.0,38,2,30,731,63800.0,10,0,2,0.557,4,Pyme,Préstamo personal,Montevideo,Llamada
AC-00097,272180.0,25,1,90,544,13300.0,3,1,0,0.803,5,Corporativo,Préstamo personal,Montevideo,WhatsApp
AC-00098,545730.0,76,2,98,337,39400.0,4,2,0,0.537,3,Corporativo,Préstamo personal,Canelones,WhatsApp
AC-00099,54400.0,450,16,16,639,62800.0,3,2,5,0.37,8,Pyme,Crédito automotor,Montevideo,WhatsApp
AC-00100,315690.0,27,1,167,437,49600.0,4,3,2,0.435,3,Pyme,Financiación retail,Soriano,Llamada
AC-00101,28510.0,173,6,143,641,28000.0,8,1,2,0.323,7,Retail,Cuenta corriente,Montevideo,Llamada
AC-00102,85830.0,100,3,144,759,49800.0,7,2,3,0.751,3,Retail,Tarjeta de crédito,Tacuarembó,Llamada
AC-00103,96270.0,57,2,31,597,165400.0,4,1,1,0.391,4,Pyme,Microcrédito,Canelones,Email
AC-00104,26530.0,33,2,100,746,34400.0,5,1,0,0.538,3,Retail,Tarjeta de crédito,Artigas,Llamada
AC-00105,13060.0,144,5,143,741,75000.0,5,3,4,0.484,5,Retail,Microcrédito,Tacuarembó,WhatsApp
AC-00106,66370.0,35,2,124,483,36200.0,9,3,3,0.693,2,Retail,Préstamo personal,Salto,Email
AC-00107,12880.0,8,1,6,349,47200.0,6,5,1,0.497,4,Retail,Préstamo personal,Soriano,Email
AC-00108,897880.0,3,1,141,620,25400.0,4,0,1,0.494,6,Pyme,Crédito automotor,Montevideo,Llamada
AC-00109,22430.0,13,1,74,432,27700.0,3,2,0,0.477,3,Retail,Tarjeta de crédito,Montevideo,WhatsApp
AC-00110,9150.0,8,1,169,425,44600.0,7,5,1,0.694,3,Retail,Tarjeta de crédito,Canelones,SMS
AC-00111,324180.0,62,2,121,686,40700.0,5,5,1,0.294,5,Corporativo,Tarjeta de crédito,Colonia,Llamada
AC-00112,46220.0,23,1,3,268,21400.0,8,0,0,0.513,2,Pyme,Tarjeta de crédito,Montevideo,WhatsApp
AC-00113,181800.0,124,5,47,447,69200.0,4,1,3,0.857,5,Corporativo,Microcrédito,Rocha,WhatsApp
AC-00114,17140.0,82,3,56,664,51700.0,7,1,0,0.473,2,Retail,Préstamo personal,Maldonado,Email
AC-00115,152970.0,152,5,170,407,67200.0,5,2,3,0.366,5,Pyme,Microcrédito,Colonia,WhatsApp
AC-00116,33610.0,268,8,175,458,41400.0,6,1,1,0.67,8,Retail,Financiación retail,San José,WhatsApp
AC-00117,88230.0,50,1,110,697,38200.0,6,2,6,0.639,2,Pyme,Microcrédito,Soriano,WhatsApp
AC-00118,25090.0,95,4,60,606,80900.0,7,4,1,0.624,3,Retail,Financiación retail,San José,WhatsApp
AC-00119,19750.0,63,3,18,518,84800.0,6,2,0,0.713,5,Retail,Microcrédito,Lavalleja,Llamada
AC-00120,31590.0,16,1,164,656,23400.0,6,3,3,0.696,1,Retail,Préstamo personal,Montevideo,Email
AC-00121,29500.0,61,3,32,590,86600.0,5,1,2,0.683,1,Retail,Tarjeta de crédito,Florida,SMS
AC-00122,986160.0,46,2,1,478,33200.0,5,5,1,0.615,5,Corporativo,Financiación retail,Salto,Email
AC-00123,15620.0,17,1,93,370,30200.0,6,4,0,0.375,6,Retail,Crédito automotor,Canelones,WhatsApp
AC-00124,16340.0,71,3,8,382,25900.0,4,5,1,0.743,7,Retail,Cuenta corriente,Montevideo,WhatsApp
AC-00125,18330.0,120,5,113,651,25200.0,9,0,1,0.631,1,Retail,Préstamo personal,Montevideo,Llamada
AC-00126,1450760.0,48,1,12,410,81800.0,2,5,4,0.775,4,Corporativo,Financiación retail,Canelones,WhatsApp
AC-00127,12520.0,45,1,61,496,55100.0,7,3,0,0.743,5,Retail,Tarjeta de crédito,Artigas,WhatsApp
AC-00128,20250.0,243,8,116,596,33800.0,2,4,0,0.537,11,Retail,Crédito automotor,Montevideo,WhatsApp
AC-00129,1501160.0,11,1,20,519,48600.0,8,4,1,0.542,1,Corporativo,Préstamo personal,Paysandú,WhatsApp
AC-00130,203960.0,64,2,118,593,48900.0,8,4,1,0.587,0,Pyme,Préstamo personal,Cerro Largo,Llamada
AC-00131,27470.0,85,2,122,576,38500.0,3,0,4,0.602,2,Retail,Préstamo personal,Montevideo,WhatsApp
AC-00132,46210.0,186,7,79,423,61100.0,12,1,1,0.198,1,Pyme,Crédito automotor,Montevideo,Llamada
AC-00133,119620.0,74,3,75,719,44600.0,12,0,3,0.559,3,Pyme,Microcrédito,San José,Email
AC-00134,44040.0,32,1,143,750,27900.0,6,3,2,0.237,4,Retail,Préstamo personal,Canelones,Email
AC-00135,1504790.0,19,1,175,730,71700.0,6,1,1,0.58,3,Corporativo,Crédito automotor,Canelones,WhatsApp
AC-00136,2381640.0,39,2,53,630,25100.0,5,1,1,0.563,3,Corporativo,Cuenta corriente,Montevideo,WhatsApp
AC-00137,10650.0,34,2,160,762,40000.0,6,0,3,0.529,1,Retail,Préstamo personal,Salto,SMS
AC-00138,55470.0,27,1,145,527,39500.0,3,4,1,0.831,3,Retail,Crédito automotor,Montevideo,WhatsApp
AC-00139,26070.0,5,1,39,604,49100.0,4,5,1,0.412,4,Retail,Préstamo personal,Canelones,Llamada
AC-00140,18040.0,54,2,34,685,167700.0,5,4,2,0.46,1,Retail,Microcrédito,Montevideo,SMS
AC-00141,34330.0,86,3,120,478,27300.0,12,3,4,0.472,6,Retail,Microcrédito,Montevideo,Email
AC-00142,27180.0,11,1,36,600,40400.0,7,0,0,0.948,1,Retail,Microcrédito,Montevideo,Email
AC-00143,19660.0,57,2,122,402,56100.0,5,2,1,0.532,5,Retail,Crédito automotor,Maldonado,WhatsApp
AC-00144,22140.0,117,3,75,540,46400.0,3,0,4,0.504,3,Retail,Tarjeta de crédito,Salto,WhatsApp
AC-00145,115470.0,62,2,6,760,30600.0,8,0,1,0.445,7,Pyme,Cuenta corriente,San José,Llamada
AC-00146,40670.0,41,2,109,680,56700.0,4,5,2,0.655,4,Retail,Tarjeta de crédito,Montevideo,WhatsApp
AC-00147,2684770.0,14,1,75,761,36100.0,8,5,1,0.768,3,Corporativo,Tarjeta de crédito,Montevideo,WhatsApp
AC-00148,273480.0,88,2,158,583,104600.0,8,4,0,0.367,6,Pyme,Microcrédito,Canelones,SMS
AC-00149,98260.0,37,1,62,547,200100.0,2,4,1,0.592,1,Retail,Tarjeta de crédito,Montevideo,Email
AC-00150,11750.0,10,1,107,417,55800.0,3,0,0,0.375,2,Retail,Financiación retail,Lavalleja,WhatsApp
AC-00151,1916390.0,14,1,37,461,45700.0,5,0,0,0.704,5,Corporativo,Préstamo personal,Canelones,WhatsApp
AC-00152,8810.0,41,1,129,365,93300.0,4,2,1,0.644,2,Retail,Préstamo personal,Canelones,Llamada
AC-00153,9860.0,63,2,57,658,53800.0,9,0,1,0.549,5,Retail,Préstamo personal,Paysandú,WhatsApp
AC-00154,15810.0,167,6,98,452,91100.0,8,0,3,0.545,3,Retail,Tarjeta de crédito,Paysandú,WhatsApp
AC-00155,12250.0,68,3,131,441,51800.0,5,4,1,0.6,6,Retail,Préstamo personal,Canelones,Llamada
AC-00156,2547310.0,180,7,93,756,75500.0,10,2,1,0.587,7,Corporativo,Préstamo personal,Colonia,Llamada
AC-00157,69360.0,8,1,69,675,42000.0,4,2,1,0.701,0,Pyme,Microcrédito,Montevideo,SMS
AC-00158,35980.0,135,5,71,547,13100.0,2,5,3,0.418,10,Retail,Préstamo personal,Canelones,WhatsApp
AC-00159,39550.0,74,3,51,531,60500.0,5,0,2,0.651,4,Retail,Préstamo personal,Paysandú,WhatsApp
AC-00160,13360.0,88,2,33,548,77300.0,5,2,1,0.79,2,Retail,Crédito automotor,Montevideo,WhatsApp
AC-00161,72690.0,91,3,92,819,41600.0,4,1,0,0.604,2,Retail,Crédito automotor,San José,Llamada
AC-00162,33290.0,103,3,123,547,58500.0,8,3,2,0.546,4,Retail,Financiación retail,Artigas,SMS
AC-00163,907690.0,18,1,106,450,51800.0,8,1,1,0.526,5,Corporativo,Crédito automotor,Montevideo,Llamada
AC-00164,399660.0,41,2,111,404,30400.0,5,3,0,0.826,2,Pyme,Cuenta corriente,Montevideo,WhatsApp
AC-00165,44490.0,18,1,131,462,50100.0,6,2,2,0.275,6,Pyme,Préstamo personal,Montevideo,Llamada
AC-00166,60510.0,56,1,30,419,55100.0,4,4,0,0.816,5,Retail,Tarjeta de crédito,Montevideo,WhatsApp
AC-00167,14680.0,22,1,136,618,38400.0,4,5,2,0.632,1,Retail,Crédito automotor,Montevideo,Email
AC-00168,31960.0,10,1,92,639,32900.0,5,0,0,0.781,6,Retail,Microcrédito,Canelones,WhatsApp
AC-00169,22590.0,25,1,82,549,34000.0,6,1,0,0.32,2,Retail,Tarjeta de crédito,Soriano,WhatsApp
AC-00170,387420.0,132,5,178,685,56800.0,3,2,3,0.488,5,Corporativo,Préstamo personal,Montevideo,WhatsApp
AC-00171,82280.0,4,1,65,420,26700.0,5,0,1,0.876,5,Retail,Cuenta corriente,Trinidad,WhatsApp
AC-00172,14660.0,10,1,75,607,93600.0,9,3,0,0.689,3,Retail,Préstamo personal,San José,WhatsApp
AC-00173,5940.0,45,2,130,573,24500.0,1,2,0,0.432,2,Retail,Tarjeta de crédito,Montevideo,Llamada
AC-00174,31210.0,29,1,136,701,31600.0,6,1,0,0.74,5,Retail,Préstamo personal,Rivera,Email
AC-00175,303480.0,124,5,131,615,37200.0,9,5,1,0.391,6,Corporativo,Crédito automotor,Artigas,Llamada
AC-00176,24060.0,54,1,20,422,52800.0,5,5,1,0.616,2,Retail,Préstamo personal,Florida,Llamada
AC-00177,56410.0,70,3,84,434,60500.0,5,5,0,0.429,4,Retail,Financiación retail,Durazno,Email
AC-00178,60640.0,16,1,51,625,47300.0,2,4,1,0.571,4,Pyme,Préstamo personal,Montevideo,Email
AC-00179,45830.0,47,1,120,579,90100.0,7,4,1,0.705,4,Retail,Préstamo personal,Paysandú,Llamada
AC-00180,30720.0,107,4,13,411,35000.0,6,5,2,0.521,4,Retail,Tarjeta de crédito,Canelones,WhatsApp
AC-00181,14360.0,37,1,95,404,7900.0,9,0,0,0.533,4,Retail,Crédito automotor,Soriano,WhatsApp
AC-00182,8640.0,57,1,118,469,177400.0,9,4,2,0.393,5,Retail,Préstamo personal,Canelones,Llamada
AC-00183,264530.0,354,12,93,463,41500.0,1,4,3,0.495,13,Pyme,Tarjeta de crédito,Maldonado,WhatsApp
AC-00184,31980.0,108,3,71,422,53000.0,6,5,3,0.508,5,Retail,Cuenta corriente,Canelones,WhatsApp
AC-00185,9890.0,176,6,105,581,71000.0,4,4,3,0.771,6,Retail,Crédito automotor,Canelones,Llamada
AC-00186,63520.0,66,2,33,568,18800.0,5,1,2,0.619,5,Retail,Financiación retail,Rivera,WhatsApp
AC-00187,107350.0,194,7,52,551,46000.0,6,2,0,0.35,11,Retail,Tarjeta de crédito,Montevideo,WhatsApp
AC-00188,35690.0,18,1,88,360,23700.0,2,3,2,0.552,4,Retail,Tarjeta de crédito,Colonia,Email
AC-00189,984270.0,63,3,60,571,27000.0,2,2,1,0.342,3,Corporativo,Préstamo personal,Montevideo,Llamada
AC-00190,87320.0,61,2,139,589,106500.0,5,0,1,0.785,8,Pyme,Microcrédito,Montevideo,Llamada
AC-00191,34540.0,33,2,36,573,17100.0,6,0,0,0.793,3,Retail,Cuenta corriente,Montevideo,Llamada
AC-00192,133980.0,231,8,10,436,54400.0,5,1,1,0.297,7,Pyme,Préstamo personal,Canelones,Llamada
AC-00193,29380.0,31,2,168,516,53500.0,11,5,2,0.65,6,Retail,Financiación retail,Canelones,SMS
AC-00194,53410.0,46,1,78,469,56100.0,5,5,0,0.315,3,Pyme,Préstamo personal,Canelones,WhatsApp
AC-00195,261670.0,53,1,150,504,10500.0,5,0,0,0.747,5,Pyme,Tarjeta de crédito,Montevideo,WhatsApp
AC-00196,224820.0,229,7,112,692,55900.0,1,3,3,0.454,3,Pyme,Tarjeta de crédito,San José,Llamada
AC-00197,63190.0,107,3,158,808,38100.0,5,1,0,0.547,2,Retail,Crédito automotor,Colonia,WhatsApp
AC-00198,37640.0,30,1,68,626,38600.0,3,2,1,0.556,0,Retail,Financiación retail,Durazno,WhatsApp
AC-00199,93860.0,187,6,113,663,109700.0,4,5,2,0.742,7,Pyme,Financiación retail,Montevideo,WhatsApp
AC-00200,37350.0,351,12,66,496,80300.0,12,5,2,0.398,12,Retail,Crédito automotor,Maldonado,Llamada
AC-00201,103960.0,47,1,51,640,44300.0,5,4,0,0.581,2,Pyme,Tarjeta de crédito,Montevideo,WhatsApp
AC-00202,437370.0,44,2,45,508,21300.0,6,3,1,0.737,7,Corporativo,Tarjeta de crédito,Montevideo,SMS
AC-00203,17360.0,66,3,14,603,29600.0,8,3,2,0.813,5,Retail,Tarjeta de crédito,Montevideo,WhatsApp
AC-00204,39030.0,39,2,70,364,14700.0,5,3,0,0.596,3,Retail,Préstamo personal,Canelones,WhatsApp
AC-00205,51230.0,29,1,131,790,57800.0,6,5,4,0.853,4,Pyme,Préstamo personal,San José,Email
AC-00206,1418740.0,19,1,133,308,51000.0,4,0,1,0.682,3,Corporativo,Préstamo personal,Montevideo,WhatsApp
AC-00207,33540.0,195,7,143,586,47400.0,3,5,0,0.368,4,Retail,Préstamo personal,Paysandú,WhatsApp
AC-00208,73040.0,259,8,134,517,52100.0,4,3,1,0.589,7,Pyme,Financiación retail,Soriano,Llamada
AC-00209,22360.0,38,2,27,768,20300.0,6,0,1,0.789,5,Retail,Préstamo personal,Treinta y Tres,WhatsApp
AC-00210,1721060.0,36,1,52,736,18000.0,4,3,2,0.463,4,Corporativo,Tarjeta de crédito,Maldonado,WhatsApp
AC-00211,17810.0,348,12,27,622,44200.0,7,5,4,0.597,8,Retail,Crédito automotor,Montevideo,Llamada
AC-00212,37480.0,26,1,11,422,27300.0,6,0,2,0.405,3,Retail,Financiación retail,Durazno,Llamada
AC-00213,194580.0,24,1,76,270,24300.0,5,0,1,0.307,2,Pyme,Préstamo personal,Montevideo,SMS
AC-00214,42120.0,179,5,144,539,20400.0,2,0,3,0.273,9,Retail,Tarjeta de crédito,Montevideo,Email
AC-00215,24090.0,13,1,35,537,48500.0,6,3,1,0.683,1,Retail,Crédito automotor,Canelones,Email
AC-00216,41560.0,85,2,139,612,34200.0,5,5,1,0.684,7,Retail,Financiación retail,Tacuarembó,SMS
AC-00217,319260.0,91,3,164,548,22200.0,9,4,2,0.99,3,Pyme,Préstamo personal,Rocha,WhatsApp
AC-00218,187070.0,25,1,111,757,9700.0,5,4,2,0.898,8,Pyme,Financiación retail,Canelones,Email
AC-00219,27040.0,17,1,163,591,38400.0,8,2,1,0.497,4,Retail,Préstamo personal,San José,WhatsApp
AC-00220,371800.0,16,1,29,443,120100.0,7,5,1,0.697,2,Pyme,Cuenta corriente,Paysandú,Llamada
AC-00221,8910.0,27,1,179,363,38800.0,5,5,1,0.617,5,Pyme,Financiación retail,Montevideo,WhatsApp
AC-00222,42740.0,60,2,109,659,82700.0,6,2,0,0.618,5,Retail,Préstamo personal,Montevideo,Email
AC-00223,509860.0,14,1,25,496,110000.0,6,3,0,0.621,6,Pyme,Tarjeta de crédito,Montevideo,Email
AC-00224,59200.0,24,1,9,706,25700.0,5,3,3,0.516,1,Retail,Préstamo personal,Tacuarembó,WhatsApp
AC-00225,49930.0,20,1,9,595,38300.0,4,0,1,0.76,3,Retail,Crédito automotor,Montevideo,Email
AC-00226,51460.0,69,2,136,374,32200.0,7,2,2,0.292,9,Retail,Tarjeta de crédito,Trinidad,Llamada
AC-00227,68000.0,106,3,154,583,170500.0,2,4,0,0.413,8,Retail,Tarjeta de crédito,Salto,WhatsApp
AC-00228,108970.0,237,8,51,777,56300.0,1,4,2,0.751,6,Retail,Tarjeta de crédito,Canelones,WhatsApp
